Sujet	Bloc	Stim	Hits	FA	Miss	RC	RT	Diss	m_ppo	m_td	m_iti	t_pi	t_ra	t_td	m_density	Uncertainty
1	1	mask_ppo_128_iti_03_td_002	0	0	0	1	0.0		128.0	0.02	300.0				46.0	678.0
1	1	mask_ppo_128_iti_07_td_002	0	0	0	1	0.0		128.0	0.02	700.0				40.0	819.0
1	1	mask_ppo_128_iti_11_td_002	0	0	0	1	0.0		128.0	0.02	1100.0				37.0	884.0
1	1	mask_ppo_128_iti_15_td_002	0	0	0	1	0.0		128.0	0.02	1500.0				36.0	927.0
1	1	mask_ppo_128_td_002_iti_11_target_fq_1000_td_01_r_1	1	0	0	0	1862.0	80.0	128.0	0.02	1100.0	1000.0	1.0	0.1	37.0	884.0
1	1	mask_ppo_128_td_002_iti_11_target_fq_2045_td_01_r_1	1	0	0	0	2707.0	80.0	128.0	0.02	1100.0	2045.0	1.0	0.1	37.0	884.0
1	1	mask_ppo_128_td_002_iti_11_target_fq_2924_td_01_r_1	1	0	0	0	1970.0	80.0	128.0	0.02	1100.0	2924.0	1.0	0.1	37.0	884.0
1	1	mask_ppo_128_td_002_iti_15_target_fq_1000_td_01_r_1	1	0	0	0	1915.0	80.0	128.0	0.02	1500.0	1000.0	1.0	0.1	36.0	927.0
1	1	mask_ppo_128_td_002_iti_15_target_fq_2045_td_01_r_1	1	0	0	0	2105.0	80.0	128.0	0.02	1500.0	2045.0	1.0	0.1	36.0	927.0
1	1	mask_ppo_128_td_002_iti_15_target_fq_2924_td_01_r_1	1	0	0	0	2605.0	80.0	128.0	0.02	1500.0	2924.0	1.0	0.1	36.0	927.0
1	1	mask_ppo_32_iti_03_td_002	0	0	0	1	0.0		32.0	0.02	300.0				11.0	169.0
1	1	mask_ppo_32_iti_07_td_002	0	0	0	1	0.0		32.0	0.02	700.0				10.0	205.0
1	1	mask_ppo_32_iti_11_td_002	0	0	0	1	0.0		32.0	0.02	1100.0				9.0	221.0
1	1	mask_ppo_32_iti_15_td_002	0	0	0	1	0.0		32.0	0.02	1500.0				9.0	232.0
1	1	mask_ppo_32_td_002_iti_11_target_fq_1000_td_01_r_1	1	0	0	0	1946.0	80.0	32.0	0.02	1100.0	1000.0	1.0	0.1	9.0	221.0
1	1	mask_ppo_32_td_002_iti_11_target_fq_2045_td_01_r_1	1	0	0	0	1866.0	80.0	32.0	0.02	1100.0	2045.0	1.0	0.1	9.0	221.0
1	1	mask_ppo_32_td_002_iti_11_target_fq_2924_td_01_r_1	1	0	0	0	2272.0	80.0	32.0	0.02	1100.0	2924.0	1.0	0.1	9.0	221.0
1	1	mask_ppo_32_td_002_iti_15_target_fq_1000_td_01_r_1	1	0	0	0	1789.0	80.0	32.0	0.02	1500.0	1000.0	1.0	0.1	9.0	232.0
1	1	mask_ppo_32_td_002_iti_15_target_fq_2045_td_01_r_1	1	0	0	0	1811.0	80.0	32.0	0.02	1500.0	2045.0	1.0	0.1	9.0	232.0
1	1	mask_ppo_32_td_002_iti_15_target_fq_2924_td_01_r_1	1	0	0	0	2300.0	80.0	32.0	0.02	1500.0	2924.0	1.0	0.1	9.0	232.0
1	1	mask_ppo_4_iti_03_td_002	0	0	0	1	0.0		4.0	0.02	300.0				1.0	21.0
1	1	mask_ppo_4_iti_07_td_002	0	0	0	1	0.0		4.0	0.02	700.0				1.0	25.0
1	1	mask_ppo_4_iti_11_td_002	0	0	0	1	0.0		4.0	0.02	1100.0				1.0	27.0
1	1	mask_ppo_4_iti_15_td_002	0	0	0	1	0.0		4.0	0.02	1500.0				1.0	29.0
1	1	mask_ppo_4_td_002_iti_11_target_fq_1000_td_01_r_1	1	0	0	0	1712.0	80.0	4.0	0.02	1100.0	1000.0	1.0	0.1	1.0	27.0
